App Builder API,App Builder
Access Control Policies,Application Security
AntiSamy Sanitizer,Application Security
Audit Administration,Application Security
Authentication and SSO,Application Security
Authorization,Application Security
AuthVerifier Framework,Application Security
AutoLogin Framework,Application Security
Captcha,Application Security
CAS,Application Security
CORS,Application Security
Digital Signature Framework,Application Security
Facebook Connect,Application Security
JAAS,Application Security
JAX-RS Integration,Application Security
JAX-WS Integration,Application Security
JSON Web Services Infrastructure,Application Security
Kerberos,Application Security
LDAP,Application Security
Multi-factor authentication,Application Security
NTLM,Application Security
OAuth,Application Security
OpenAM,Application Security
OpenID Connect,Application Security
PACL,Application Security
Password service,Application Security
Permissions Framework,Application Security
SAML,Application Security
Service Access Policies,Application Security
Service Access Quotas,Application Security
Shibboleth,Application Security
Sign in widget,Application Security
SiteMinder,Application Security
SOAP Web Services Infrastructure,Application Security
Token-based SSO,Application Security
Tunnel authentication,Application Security
LCS Client,Connected Services
51 Degrees,Core Infrastructure
Apache Felix (OSGi),Core Infrastructure
Application Servers,Core Infrastructure
Background Task Framework,Core Infrastructure
Change Lists,Core Infrastructure
Cloud Infrastructure,Core Infrastructure
Cluster Framework,Core Infrastructure
Database Persistence (Service Builder),Core Infrastructure
Databases,Core Infrastructure
Deploy manager,Core Infrastructure
Dynamic Includes,Core Infrastructure
Expando Framework,Core Infrastructure
Ext environment,Core Infrastructure
Freemarker Templates,Core Infrastructure
JSON Web Services,Core Infrastructure
Lock Manager,Core Infrastructure
Logging,Core Infrastructure
Message Bus,Core Infrastructure
Mobile Device Detection Framework,Core Infrastructure
Mobile Device Rules,Core Infrastructure
Module Framework,Core Infrastructure
Monitoring-Audit Framework,Core Infrastructure
MVC Portlet,Core Infrastructure
MVCC,Core Infrastructure
ORM,Core Infrastructure
Platform Configuration Framework,Core Infrastructure
Plugin SDK,Core Infrastructure
Portal Cache Manager,Core Infrastructure
Portlet Container,Core Infrastructure
Portlet Sandboxes,Core Infrastructure
Portlet Settings Framework,Core Infrastructure
Rolling Restarts,Core Infrastructure
Scheduler Engine,Core Infrastructure
Service Builder,Core Infrastructure
Session management,Core Infrastructure
SLIM runtime,Core Infrastructure
Spring,Core Infrastructure
Stores Framework,Core Infrastructure
System Administration,Core Infrastructure
Template Context Contributor,Core Infrastructure
Template Engine,Core Infrastructure
Velocity Templates,Core Infrastructure
Database Partitioning,Core Upgrades
Database Upgrade framework,Core Upgrades
Database Upgrade tool,Core Upgrades
Data Engine,Data Engine
Data Engine API,Data Engine
DDM Framework,Data Engine
Blade,Development Tools
Blade CLI,Development Tools
bnd,Development Tools
BOM,Development Tools
Gradle,Development Tools
Gradle plugins,Development Tools
IDE,Development Tools
Java-JVMs,Development Tools
Layout Template,Development Tools
Maven,Development Tools
Maven plugins,Development Tools
Theme Builder,Development Tools
Theme Contributor Template,Development Tools
Theme Template,Development Tools
Workspace,Development Tools
Docker Images,Docker Image
Applications Menu,Echo (wem)
Asset Framework,Echo (wem)
Asset Publisher widget,Echo (wem)
Banner Components Fragment,Echo (wem)
Breadcrumb widget,Echo (wem)
Button Fragment,Echo (wem)
Card Fragment,Echo (wem)
Categories,Echo (wem)
Collections Display Fragment,Echo (wem)
Configuration Templates,Echo (wem)
Container Fragment,Echo (wem)
Content Display Fragment,Echo (wem)
Content Display Widgets,Echo (wem)
Content Page Templates,Echo (wem)
Content Page Templates copy,Echo (wem)
Content Pages,Echo (wem)
Content Sets,Echo (wem)
Control Menu,Echo (wem)
Display Page Templates,Echo (wem)
Features Components Fragment,Echo (wem)
Filter Fragment,Echo (wem)
Flags Fragment,Echo (wem)
Flash widget,Echo (wem)
Footer Nav Dark Fragment,Echo (wem)
Footer Nav Light Fragment,Echo (wem)
Fragment Administration,Echo (wem)
Fragments Toolkit,Echo (wem)
Google Adsense Connector,Echo (wem)
Google Maps widget,Echo (wem)
Grid Fragment,Echo (wem)
Header Dark Fragment,Echo (wem)
Header Light Fragment,Echo (wem)
Heading Fragment,Echo (wem)
Highest Rated Assets widget,Echo (wem)
Highlights Components Fragment,Echo (wem)
HTML Fragment,Echo (wem)
Iframe widget,Echo (wem)
Image Fragment,Echo (wem)
Info Framework,Echo (wem)
InfoCollectionTextFormatter,Echo (wem)
InfoDisplayContributor (deprecated),Echo (wem)
InfoDisplayContributorWrapper,Echo (wem)
InfoField,Echo (wem)
InfoFieldSet,Echo (wem)
InfoFieldValue,Echo (wem)
InfoForm,Echo (wem)
InfoItemCapabilitiesProvider,Echo (wem)
InfoItemDetailsProvider,Echo (wem)
InfoItemFieldValuesProvider,Echo (wem)
InfoItemFieldValuesUpdater,Echo (wem)
InfoItemFormProvider,Echo (wem)
InfoItemFormVariationsProvider,Echo (wem)
InfoItemIdentifier,Echo (wem)
InfoItemObjectProvider,Echo (wem)
InfoItemPermissionProvider,Echo (wem)
InfoItemReference,Echo (wem)
InfoItemRenderer,Echo (wem)
InfoItemSelector,Echo (wem)
InfoItemServiceTracker,Echo (wem)
InfoItemTemplatedRenderer,Echo (wem)
InfoListProvider,Echo (wem)
InfoListRenderer,Echo (wem)
InfoTextFormatter,Echo (wem)
Language widget,Echo (wem)
Master pages,Echo (wem)
Most Viewed Assets widget,Echo (wem)
My Sites widget,Echo (wem)
Navigation Menu Fragment,Echo (wem)
Navigation Menus,Echo (wem)
Navigation widget,Echo (wem)
Navigation Widgets,Echo (wem)
Nested Portlets widget,Echo (wem)
Netvibes widget,Echo (wem)
Out of the box fragments,Echo (wem)
Page Administration,Echo (wem)
Page Customizations,Echo (wem)
Page Editor,Echo (wem)
Page Templates,Echo (wem)
Pages,Echo (wem)
Pages Tree,Echo (wem)
Paragraph Fragment,Echo (wem)
Personal Dashboard,Echo (wem)
Product Menu,Echo (wem)
Product Navigation Framework,Echo (wem)
Ratings Fragment,Echo (wem)
Recycle Bin,Echo (wem)
Recycle Bin Framework,Echo (wem)
Related Assets widget,Echo (wem)
RSS Publisher widget,Echo (wem)
Screen Navigation Framework,Echo (wem)
Search Fragment,Echo (wem)
Section Fragment,Echo (wem)
Separator Fragment,Echo (wem)
Simulation Menu,Echo (wem)
Site Initializer,Echo (wem)
Site Map widget,Echo (wem)
Site Membership,Echo (wem)
Site Settings,Echo (wem)
Sitemap Protocol,Echo (wem)
Sites,Echo (wem)
Sites Administration,Echo (wem)
Sites Directory widget,Echo (wem)
Slider Fragment,Echo (wem)
Social Fragment,Echo (wem)
Sort Fragment,Echo (wem)
Spacer Fragment,Echo (wem)
Style Books,Echo (wem)
Tabs Fragment,Echo (wem)
Tags,Echo (wem)
Video Fragment,Echo (wem)
Weather widget,Echo (wem)
Web Content,Echo (wem)
Web Content Administration,Echo (wem)
Web Content Auto Tagging,Echo (wem)
Web Content Display widget,Echo (wem)
Web Content Feeds,Echo (wem)
Web Content List widget,Echo (wem)
Web Content Search widget,Echo (wem)
Web Content Structures,Echo (wem)
Web Content Templates,Echo (wem)
Web Proxy widget,Echo (wem)
Widget Configuration,Echo (wem)
Widget Look and Feel,Echo (wem)
Widget Page Templates,Echo (wem)
Widget Pages,Echo (wem)
XSL Content widget,Echo (wem)
Youtube widget,Echo (wem)
Faces,Faces and JCP
JSF,Faces and JCP
Dynamic Data Lists,Forms
Form API,Forms
Form Rules Builder,Forms
Forms Builder,Forms
Polls,Forms
Web Form,Forms
Widget Templates,Forms
Admin (Control Panel),Frontend Infrastructure
Alloy Editor,Frontend Infrastructure
Alloy UI,Frontend Infrastructure
AMD Module Loader,Frontend Infrastructure
Angular,Frontend Infrastructure
CKEditor,Frontend Infrastructure
Classic,Frontend Infrastructure
Clay,Frontend Infrastructure
Clay Taglib,Frontend Infrastructure
Compatibility Layer,Frontend Infrastructure
Components Web API,Frontend Infrastructure
Dataset Display,Frontend Infrastructure
Dynamic CSS filter (sass),Frontend Infrastructure
Fjord,Frontend Infrastructure
Frontend JS Web API,Frontend Infrastructure
jQuery,Frontend Infrastructure
JS APIs and Utilities,Frontend Infrastructure
JS Portlet Extender,Frontend Infrastructure
JS Themes Toolkit,Frontend Infrastructure
JS Toolkit,Frontend Infrastructure
Layout Templates,Frontend Infrastructure
Liferay AUI Taglib,Frontend Infrastructure
Liferay Chart Taglib,Frontend Infrastructure
Liferay Dynamic Section Taglib,Frontend Infrastructure
Liferay Form Navigator Taglib,Frontend Infrastructure
Liferay Frontend Taglib,Frontend Infrastructure
Liferay Soy Taglib,Frontend Infrastructure
Liferay Theme Taglib,Frontend Infrastructure
Liferay Themes,Frontend Infrastructure
Liferay UI Taglibs,Frontend Infrastructure
Liferay Util Taglib,Frontend Infrastructure
Lodash,Frontend Infrastructure
London (legacy),Frontend Infrastructure
Metal.js,Frontend Infrastructure
Minifier ,Frontend Infrastructure
Node Shims API,Frontend Infrastructure
NPM Tools,Frontend Infrastructure
Portlet Decorators,Frontend Infrastructure
Porygon,Frontend Infrastructure
React,Frontend Infrastructure
React Templates,Frontend Infrastructure
React Web API,Frontend Infrastructure
RTL Infrastructure,Frontend Infrastructure
Search Container,Frontend Infrastructure
Soy Portlet Bridge,Frontend Infrastructure
Soy Templates,Frontend Infrastructure
SPA Engine (Senna),Frontend Infrastructure
Tag Libraries,Frontend Infrastructure
Theme Contributor Extender,Frontend Infrastructure
Theme Generator,Frontend Infrastructure
Theme Settings,Frontend Infrastructure
Theme Tasks,Frontend Infrastructure
Themes Infrastructure,Frontend Infrastructure
Themes SDK (legacy),Frontend Infrastructure
TinyMCE Editor,Frontend Infrastructure
Westeros,Frontend Infrastructure
Zoe (legacy),Frontend Infrastructure
Admin Content API,Headless Experience
Admin Taxonomy API,Headless Experience
Batch Engine API,Headless Experience
Delivery API,Headless Experience
GraphQL Infrastructure (vulcan),Headless Experience
Liferay Push,Headless Experience
Mobile SDK,Headless Experience
Questions,Headless Experience
REST Builder,Headless Experience
REST Infrastructure (vulcan),Headless Experience
Screens,Headless Experience
Lexicon,Lexicon
Liferay IDE,Liferay IDE
Activities widget,Lima (C&DM)
Adaptive Media,Lima (C&DM)
Announcements and Alerts widgets,Lima (C&DM)
Asset Libraries,Lima (C&DM)
Asset Sharing Framework,Lima (C&DM)
Auto Tagging Framework,Lima (C&DM)
Blogs,Lima (C&DM)
Blogs Auto Tagging,Lima (C&DM)
Bookmarks,Lima (C&DM)
Bulk API,Lima (C&DM)
CMIS,Lima (C&DM)
Comments,Lima (C&DM)
Directory,Lima (C&DM)
Document Auto Tagging,Lima (C&DM)
Document Repository Framework,Lima (C&DM)
Document Types,Lima (C&DM)
Documents and Media,Lima (C&DM)
Documents and Media administration,Lima (C&DM)
Documentum Connector,Lima (C&DM)
Editor Config Contributor,Lima (C&DM)
External Document Repositories,Lima (C&DM)
Friendly URL Service,Lima (C&DM)
Friends Activities widget,Lima (C&DM)
Friends Directory widget,Lima (C&DM)
Friends widget,Lima (C&DM)
Google Drive Integration,Lima (C&DM)
Group Statistics widget,Lima (C&DM)
Image Auto Tagging,Lima (C&DM)
Image Editor,Lima (C&DM)
Invite Members widget,Lima (C&DM)
Item Selector,Lima (C&DM)
Knowledge Base widget,Lima (C&DM)
Map widget,Lima (C&DM)
Media Gallery Widget,Lima (C&DM)
Meetups widget,Lima (C&DM)
Members widget (old),Lima (C&DM)
Members' Activities widget (old),Lima (C&DM)
Mentions,Lima (C&DM)
Message Boards,Lima (C&DM)
Metadata Sets,Lima (C&DM)
Microblogs,Lima (C&DM)
My Contacts widget,Lima (C&DM)
My Sites Directory widget,Lima (C&DM)
My Subscription widget,Lima (C&DM)
Office 365 Integration,Lima (C&DM)
OpenGraph tags,Lima (C&DM)
Page Comments widget,Lima (C&DM)
Page Flags widget,Lima (C&DM)
Page Ratings widget,Lima (C&DM)
Page Reviews,Lima (C&DM)
Page SEO links,Lima (C&DM)
Portal Directory widget,Lima (C&DM)
Private Messaging widget,Lima (C&DM)
Ratings,Lima (C&DM)
Recent Downloads widget,Lima (C&DM)
SEO Tools,Lima (C&DM)
Shared With Me widget,Lima (C&DM)
Sharepoint Connector,Lima (C&DM)
Site Members Directory widget,Lima (C&DM)
Social Activity,Lima (C&DM)
Social Bookmarks,Lima (C&DM)
Social Coding widget,Lima (C&DM)
Social Networking Plugin,Lima (C&DM)
Subscription Manager,Lima (C&DM)
Summary widget,Lima (C&DM)
Translation Management,Lima (C&DM)
Twitter widget,Lima (C&DM)
Upload Attachments Framework,Lima (C&DM)
URL Redirections,Lima (C&DM)
User Notifications,Lima (C&DM)
User Statistics widget,Lima (C&DM)
Vimeo,Lima (C&DM)
Wall widget,Lima (C&DM)
WebDAV access,Lima (C&DM)
Wiki,Lima (C&DM)
App Manager,Marketplace
Marketplace Purchased,Marketplace
Marketplace Store,Marketplace
Amazon Rankings widget,ob
Currency Converter widget,ob
Dictionary widget,ob
Loan Calculator widget,ob
Mail,ob
Network Utilities widget,ob
Password Generator widget,ob
Quick Note widget,ob
Shopping widget,ob
Translator widget,ob
Unit Converter widget,ob
vLDAP,ob
Object,Objects
Patching tool,Patching Tool
License Manager,Release Management
Elasticsearch,Search
Lucene,Search
Search Bar widget,Search
Search Facet widgets,Search
Search Framework,Search
Search Insights widget,Search
Search Options widget,Search
Search Results widget,Search
Search Suggestions widget,Search
Search widget,Search
SOLR,Search
Chat to Talk,Solutions
TestRay,Solutions
Export-Import Framework,Staging
Export-Import of LARs,Staging
Local Staging,Staging
Remote Staging,Staging
Resources Importer,Staging
Site Templates,Staging
Widget Export-Import,Staging
IP Geocoder,Sync Desktop
My Sync Devices widget,Sync Desktop
Opensocial Gadgets,Sync Desktop
Sync,Sync Desktop
A-B Testing for Content Pages,Tango (SandP)
Audience Targeting,Tango (SandP)
Audience Targeting Rules Updater,Tango (SandP)
Content Dashboard,Tango (SandP)
Content Performance,Tango (SandP)
Content Recommendations,Tango (SandP)
Content Set Personalization,Tango (SandP)
Experience Personalization for Content Pages,Tango (SandP)
Page Audit,Tango (SandP)
Request Context Contributor -don't map to jira,Tango (SandP)
Segmens Editor,Tango (SandP)
Segments Analytics Cloud Integration,Tango (SandP)
Segments Criteria Contributor - don't map to jira,Tango (SandP)
Segments Simulation Panel,Tango (SandP)
Account API,User and System Management
Account Settings,User and System Management
Admin User API,User and System Management
Business Accounts,User and System Management
Components,User and System Management
Contacts,User and System Management
Contacts Center widget,User and System Management
Custom Fields,User and System Management
Instance Settings,User and System Management
Members widget,User and System Management
My Contacts widget,User and System Management
My Dashboard,User and System Management
My Organizations widget,User and System Management
My Profile,User and System Management
Organizations,User and System Management
Password Policies,User and System Management
Personal Data Erasure,User and System Management
Profile widget,User and System Management
Roles administration,User and System Management
Self registration,User and System Management
Server Administration,User and System Management
Site Teams,User and System Management
System Settings,User and System Management
User administration,User and System Management
User groups,User and System Management
User Monitoring,User and System Management
User Personal Bar,User and System Management
Virtual Instances,User and System Management
Widget Permissions,User and System Management
Admin Workflow API,Workflow
Calendar,Workflow
Kaleo Engine,Workflow
Kaleo Forms,Workflow
My Submissions widget,Workflow
My Workflow Tasks widget,Workflow
Workflow administration,Workflow
Workflow Framework,Workflow
Workflow Metrics,Workflow